"","Comuna ","Paso ","Estado","Nota"
"","Putre","3","Preparación","No info"
"","General Lagos","3","Preparación","No info"
"","Camarones","3","Preparación","No info"
"","Arica","1","Cuarentena","No info"
"","Huara","3","Preparación","No info"
"","Colchane","3","Preparación","No info"
"","Camiña","3","Preparación","No info"
"","Pica","3","Preparación","No info"
"","Alto Hospicio","1","Cuarentena","No info"
"","Iquique","1","Cuarentena","No info"
"","Pozo Almonte","1","Cuarentena","No info"
"","Ollagüe","3","Preparación","No info"
"","Taltal","3","Preparación","No info"
"","Maria Elena","3","Preparación","No info"
"","Sierra Gorda","3","Preparación","No info"
"","San Pedro de Atacama","3","Preparación","No info"
"","Antofagasta","1","Cuarentena","No info"
"","Calama","1","Cuarentena","No info"
"","Mejillones","1","Cuarentena","No info"
"","Tocopilla","2","Transición","No info"
"","Chañaral","3","Preparación","No info"
"","Freirina","3","Preparación","No info"
"","Vallenar","3","Preparación","No info"
"","Caldera","3","Preparación","No info"
"","Diego de Almagro","3","Preparación","No info"
"","Tierra Amarilla","1","Cuarentena","No info"
"","Alto del Carmen","3","Preparación","No info"
"","Copiapó","1","Cuarentena","No info"
"","Huasco","3","Preparación","No info"
"","Combarbalá","3","Preparación","No info"
"","La Higuera","3","Preparación","No info"
"","Monte Patria","3","Preparación","No info"
"","Punitaqui","3","Preparación","No info"
"","Vicuña","3","Preparación","No info"
"","Canela","3","Preparación","No info"
"","Illapel","3","Preparación","No info"
"","Los Vilos","3","Preparación","No info"
"","Paiguano","3","Preparación","No info"
"","Salamanca","3","Preparación","No info"
"","Andacollo","3","Preparación","No info"
"","Coquimbo","1","Cuarentena","No info"
"","La Serena","1","Cuarentena","No info"
"","Ovalle","3","Preparación","No info"
"","Río Hurtado","3","Preparación","No info"
"","Calera","1","Cuarentena","No info"
"","Casablanca","3","Preparación","No info"
"","El Quisco","3","Preparación","No info"
"","Juan Fernández","3","Preparación","No info"
"","Limache","3","Preparación","No info"
"","Olmué","3","Preparación","No info"
"","Petorca","3","Preparación","No info"
"","Quilpue","3","Preparación","No info"
"","San Esteban","3","Preparación","No info"
"","Villa Alemana","3","Preparación","No info"
"","Cabildo","3","Preparación","No info"
"","Cartagena","3","Preparación","No info"
"","Con Con","3","Preparación","No info"
"","Hijuelas","3","Preparación","No info"
"","La Ligua","3","Preparación","No info"
"","Nogales","3","Preparación","No info"
"","Papudo","3","Preparación","No info"
"","Putaendo","3","Preparación","No info"
"","Rinconada","3","Preparación","No info"
"","Santo Domingo","3","Preparación","No info"
"","Algarrobo","3","Preparación","No info"
"","Calle Larga","3","Preparación","No info"
"","Catemu","3","Preparación","No info"
"","El Tabo","3","Preparación","No info"
"","La Cruz","1","Cuarentena","No info"
"","Llaillay","3","Preparación","No info"
"","Panquehue","3","Preparación","No info"
"","Puchuncaví","3","Preparación","No info"
"","Quintero","3","Preparación","No info"
"","Santa Maria","3","Preparación","No info"
"","Zapallar","3","Preparación","No info"
"","Los Andes","1","Cuarentena","No info"
"","Quillota","1","Cuarentena","No info"
"","San Antonio","2","Transición","No info"
"","San Felipe","2","Transición","No info"
"","Valparaiso","1","Cuarentena","No info"
"","Viña del Mar","1","Cuarentena","No info"
"","Isla de Pascua","3","Preparación","No info"
"13","Isla de Maipo","1","Cuarentena","No info"
"13","Pirque","3","Preparación","No info"
"","Alhué","3","Preparación","No info"
"","Paine","3","Preparación","No info"
"","Maria Pinto","2","Transición","No info"
"","San Pedro","3","Preparación","No info"
"","Providencia","2","Transición","No info"
"","Pudahuel","1","Cuarentena","No info"
"","Puente Alto","1","Cuarentena","No info"
"","Quilicura","1","Cuarentena","No info"
"","Quinta Normal","1","Cuarentena","No info"
"","Recoleta","1","Cuarentena","No info"
"","Renca","1","Cuarentena","No info"
"","San Bernardo","1","Cuarentena","No info"
"","San Joaquín","1","Cuarentena","No info"
"","San José de Maipo","1","Cuarentena","No info"
"","San Miguel","1","Cuarentena","No info"
"","San Ramón","1","Cuarentena","No info"
"","Santiago","2","Transición","Desde 17 Agosto a las 5.00 horas"
"","Talagante","1","Cuarentena","No info"
"","Tiltil","2","Transición","No info"
"","Vitacura","2","Transición","No info"
"","La Pintana","1","Cuarentena","No info"
"","La Reina","2","Transición","No info"
"","Lampa","2","Transición","No info"
"","Las Condes","2","Transición","No info"
"","Lo Barnechea","2","Transición","No info"
"","Lo Espejo","1","Cuarentena","No info"
"","Lo Prado","1","Cuarentena","No info"
"","Macul","1","Cuarentena","No info"
"","Maipú","1","Cuarentena","No info"
"","Melipilla","2","Transición","No info"
"","Ñuñoa","2","Transición","No info"
"","Padre Hurtado","1","Cuarentena","No info"
"","Pedro Aguirre Cerda","1","Cuarentena","No info"
"","Peñaflor","1","Cuarentena","No info"
"","Peñalolén","1","Cuarentena","No info"
"","Buin","1","Cuarentena","No info"
"","Calera de Tango","1","Cuarentena","No info"
"","Cerrillos","1","Cuarentena","No info"
"","Cerro Navia","1","Cuarentena","No info"
"","Colina","2","Transición","No info"
"","Conchalí","1","Cuarentena","No info"
"","Curacaví","2","Transición","No info"
"","El Bosque","1","Cuarentena","No info"
"","El Monte","1","Cuarentena","No info"
"","Estación Central","2","Transición","Desde 17 Agosto a las 5.00 horas"
"","Huechuraba","1","Cuarentena","No info"
"","Independencia","1","Cuarentena","No info"
"","La Cisterna","1","Cuarentena","No info"
"","La Florida","1","Cuarentena","No info"
"","La Granja","1","Cuarentena","No info"
"","Olivar","3","Preparación","No info"
"","Mostazal","3","Preparación","No info"
"","Pichidegua","3","Preparación","No info"
"","San Vicente","1","Cuarentena","Descde el 14 Agosto a las 22.00 horas"
"","Doñihue","3","Preparación","No info"
"","Marchihue","3","Preparación","No info"
"","Peumo","3","Preparación","No info"
"","San Fernando","3","Preparación","No info"
"","Coltauco","3","Preparación","No info"
"","Malloa","3","Preparación","No info"
"","Peralillo","3","Preparación","No info"
"","Requínoa","3","Preparación","No info"
"","Coinco","3","Preparación","No info"
"","Lolol","3","Preparación","No info"
"","Paredones","3","Preparación","No info"
"","Quinta de Tilcoco","3","Preparación","No info"
"","Codegua","3","Preparación","No info"
"","Litueche","3","Preparación","No info"
"","Palmilla","3","Preparación","No info"
"","Pumanque","3","Preparación","No info"
"","Chimbarongo","3","Preparación","No info"
"","Las Cabras","3","Preparación","No info"
"","Navidad","3","Preparación","No info"
"","Placilla","3","Preparación","No info"
"","Chepica","3","Preparación","No info"
"","La Estrella","3","Preparación","No info"
"","Nancagua","3","Preparación","No info"
"","Pichilemu","3","Preparación","No info"
"","Santa Cruz","3","Preparación","No info"
"","Graneros","2","Transición","No info"
"","Machalí","2","Transición","No info"
"","Rancagua","2","Transición","No info"
"","Rengo","1","Cuarentena","No info"
"","Empedrado","3","Preparación","No info"
"","Parral","3","Preparación","No info"
"","Romeral","3","Preparación","No info"
"","Vichuquén","3","Preparación","No info"
"","Curepto","3","Preparación","No info"
"","Molina","3","Preparación","No info"
"","Río Claro","3","Preparación","No info"
"","Teno","3","Preparación","No info"
"","Constitución","3","Preparación","No info"
